"date_reported","type","ctar","id_ctar","distcode","commcode","known_cat1","source","no_patients"
2016-11-29,"new","Moramanga",8,"MG33314","MG33314190",0,"Moramanga",1
2016-11-30,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-12-01,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",3
2016-12-01,"new","Moramanga",8,"MG33314","MG33314250",0,"Moramanga",1
2016-12-02,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-12-03,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",3
2016-12-03,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2016-12-04,"new","Moramanga",8,"MG33314","MG33314030",1,"Moramanga",1
2016-12-05,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-12-06,"new","Moramanga",8,"MG33314","MG33314030",1,"Moramanga",2
2016-12-06,"new","Moramanga",8,"MG33314","MG33314250",1,"Moramanga",1
2016-12-07,"new","Moramanga",8,"MG33314","MG33314030",1,"Moramanga",3
2016-12-07,"new","Moramanga",8,"MG33314","MG33314091",0,"Moramanga",1
2016-12-07,"new","Moramanga",8,"MG33314","MG33314091",1,"Moramanga",17
2016-12-08,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-12-09,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-12-10,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",2
2016-12-10,"new","Moramanga",8,"MG33314","MG33314030",1,"Moramanga",1
2016-12-11,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-12-12,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-12-12,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2016-12-12,"new","Moramanga",8,"MG33314","MG33314130",0,"Moramanga",1
2016-12-12,"new","Moramanga",8,"MG33314","MG33314270",0,"Moramanga",1
2016-12-13,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-12-13,"new","Moramanga",8,"MG33314","MG33314091",0,"Moramanga",1
2016-12-13,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
